,date,link,company,field,place,round,amount,investor
0,2016.11.18,https://www.itjuzi.com/investevents/22302,蚂蚁优厂,电子商务,浙江,天使轮,300万人民币,投资方未透露
1,2016.11.18,https://www.itjuzi.com/investevents/22301,聚宝R,金融,广东,A轮,2亿美元,"RRJ资本,宁波天使投资引导基金,鑫融投资"
2,2016.11.18,https://www.itjuzi.com/investevents/22300,看到科技,硬件,广东,战略投资,4000万人民币,天彩控股
3,2016.11.18,https://www.itjuzi.com/investevents/22299,车到山前,汽车交通,浙江,A轮,1亿人民币,易丰股份
4,2016.11.18,https://www.itjuzi.com/investevents/22298,绿色家,房产服务,北京,A轮,数千万人民币,"棋盘资本,华仰投资"
5,2016.11.18,https://www.itjuzi.com/investevents/22297,剧角映画,广告营销,北京,D轮,2亿人民币,华谊兄弟
6,2016.11.18,https://www.itjuzi.com/investevents/22292,Bitmark,金融,台湾,种子轮,170万美元,Cherubic Ventures心元资本
7,2016.11.18,https://www.itjuzi.com/investevents/22290,好滴服务,本地生活,上海,A轮,亿元及以上人民币,投资方未透露
8,2016.11.18,https://www.itjuzi.com/investevents/22289,Yours只秀给懂你的人,社交网络,上海,天使轮,18万美元,GaiaX Global Marketing Ventures
9,2016.11.18,https://www.itjuzi.com/investevents/22277,YOGO机器人,硬件,上海,Pre-A轮,数千万人民币,IDG资本
